Verb,Function,Level_1,Level_2,Level_3,
回,,生物活动,头部动作,头动,
回,,生物活动,头部动作,眼动,
回,,社会活动,交通,经抵,
回,,社会活动,社交,表达,
回,,运动与变化,方位变化,转动,
撒,,运动与变化,方位变化,分散,
处以,,社会活动,管理,奖惩,
一见钟情,,生物活动,生活工作,婚恋,
吆喝,,生物活动,头部动作,叫喊,
表,,社会活动,社交,表达,
关爱,,社会活动,帮助,照顾,
发怒,,生物活动,心理活动,愤怒,
招,,生物活动,肢体动作,摆弄,
招,,社会活动,司法,诉讼,
招,,社会活动,争斗,欺负瞒骗,
招,,运动与变化,判断,导致,
分,,生物活动,生活工作,使用,
分,,社会活动,管理,调动,
曰,,社会活动,社交,说话,
曰,,运动与变化,判断,是作,
置若罔闻,,生物活动,心理活动,忽视,
认为,,生物活动,心理活动,主张,
确定,,生物活动,生活工作,使用,
确定,,社会活动,管理,议决,
深恶痛绝,,生物活动,心理活动,厌恶,
挑剔,,社会活动,争斗,欺负瞒骗,
